id,name,alias,iata,icao,callsign,country,is_active
3458,"Meridian","","","POV","AIR POLTAVA","Ukraine",0
3459,"Meridian Air Cargo","","","MRD","MERIDIAN","United States",0
3460,"Meridian Airlines","","","MHL","HASSIMAIR","Nigeria",0
3461,"Meridian Aviation","","","DSL","DIESEL","United Kingdom",0
3462,"Meridian Limited","","","MEM","MERIDIAN CHERRY","Ukraine",0
3463,"Meridiana","","IG","ISS","MERAIR","Italy",1
3464,"Merlin Airways","","","MEI","AVALON","United States",0
3465,"Merpati Nusantara Airlines","","MZ","MNA","MERPATI","Indonesia",1
3466,"Mesa Airlines","","YV","ASH","AIR SHUTTLE","United States",1
3467,"Mesaba Airlines","","XJ","MES","MESABA","United States",1
3468,"Meta Linhas A","","","MSQ","META","Brazil",0
3469,"Meteorological Research Flight","","","MET","METMAN","United Kingdom",0
3470,"Methow Aviation","","","MER","METHOW","United States",0
3471,"Metro Business Aviation","","","MVI","","United Kingdom",0
3472,"Metro Express","","","MEX","EAGLE EXPRESS","United States",0
3473,"Metroflight","","","MTR","METRO","United States",0
3474,"Metrojet","","","MTJ","METROJET","Hong Kong SAR of China",0
3475,"Metropix UK","","","PIX","METROPIX","United Kingdom",0
3476,"Metroplis","","","MPS","METRO REGIONAL","Netherlands",0
3477,"Mex Blue","","","MXB","MEX BLUE","Mexico",0
3478,"Mex-Jet","","","MJT","MEJETS","Mexico",0
3479,"Mexicana de Aviaci","","MX","MXA","MEXICANA","Mexico",1
3480,"Mexico Transportes Aereos","","","MXT","TRANSMEX","Mexico",0
3481,"Miami Air Charter","","","HUR","HURRICANE CHARTER","United States",0
3482,"Miami Air International","","GL","BSK","BISCAYNE","United States",0
3483,"Miami Valley Aviation","","","OWL","NIGHT OWL","United States",0
3484,"Miapet-Avia","","","MPT","MIAPET","Armenia",0
3485,"Michelin Air Services","","","BIB","","France",0
3486,"Micromatter Technology Solutions","","","WIZ","WIZARD","United Kingdom",0
3487,"Mid Airlines","","","NYL","NILE","Sudan",0
3488,"Mid-Pacific Airlines","","","MPA","MID PAC","United States",0
3489,"Midamerica Jet","","","MJR","MAJOR","United States",0
3490,"Middle East Airlines","","ME","MEA","CEDAR JET","Lebanon",1
3491,"Midland Airport Services","","","MID","","United Kingdom",0
3492,"Midline Air Freight","","","MFR","MIDLINE FREIGHT","United States",0
3493,"Midstate Airlines","","","MIS","MIDSTATE","United States",0
3494,"Midway Airlines","","JI","MDW","MIDWAY","United States",1
3495,"Midway Express","","","FLA","PALM","United States",0
3496,"Midwest Air Freighters","","","FAX","FAIRFAX","United States",0
3497,"Midwest Airlines","","YX","MEP","","United States",1
3498,"Midwest Airlines (Egypt)","","MY","MWA","","Egypt",1
3499,"Midwest Aviation","","","NIT","NIGHTTRAIN","United States",0
3500,"Midwest Aviation Division","","","MWT","MIDWEST","United States",0
3501,"Midwest Helicopters De Mexico","","","HTE","HELICOPTERSMEXICO","Mexico",0
3502,"Millardair","","","MAB","MILLARDAIR","Canada",0
3503,"Millen Corporation","","","RJM","MILLEN","United Kingdom",0
3504,"Millennium Air","","","MLK","NIGERJET","Nigeria",0
3505,"Miller Flying Services","","","MFS","MILLER TIME","United States",0
3506,"Million Air","","","OXO","MILL AIR","United States",0
3507,"Mimino","","","MIM","MIMINO","Russia",0
3508,"Mina Airline Company","","","NAB","","Egypt",0
3509,"Minair","","","OMR","ORMINE","Central African Republic",0
3510,"Minebea Technologies","","","EBE","MINEBEA","United States",0
3511,"Mines Air Services Zambia","","","MAZ","MINES","Zambia",0
3512,"Miniliner","","","MNL","MINILINER","Italy",0
3513,"Ministic Air","","","MNS","MINISTIC","Canada",0
3514,"Ministry of Agriculture","","","WDG"," Fisheries and Food","WATCHDOG",0
3515,"Minsk Aircraft Overhaul Plant","","","LIR","LISLINE","Belarus",0
3516,"Miramichi Air Service","","","MIR","MIRAMICHI","Canada",0
3517,"Miras","","","MIF","MIRAS","Kazakhstan",0
3518,"Misr Overseas Airways","","","MOS","","Egypt",0
3519,"Mission Aviation Fellowship","","","MAF","MISSI","Indonesia",0
3520,"Missionair","","","MSN","MISIONAIR","Spain",0
3521,"Missions Gouvernemtales Francaises","","","MRN","MARIANNE","France",0
3522,"Mississippi State University","","","BDG","BULLDOG","United States",0
3523,"Mississippi Valley Airways","","","MVA","VALAIR","United States",0
3524,"Mistral Air","","","MSA","AIRMERCI","Italy",0
3525,"Mobil Oil","","","MBO","MOBIL","Canada",0
3526,"Mocambique Expresso","","","MXE","MOZAMBIQUE EXPRESS","Mozambique",0
3527,"Mofaz Air","","","MFZ","MOFAZ AIR","Malaysia",0
3528,"Moldaeroservice","","","MLE","MOLDAERO","Moldova",0
3529,"Moldavian Airlines","","2M","MDV","MOLDAVIAN","Moldova",1
3530,"Moldova","","","MVG","MOLDOVA-STATE","Moldova",0
3531,"Mombasa Air Safari","","","RRV","SKYROVER","Kenya",0
3532,"Monarch Airlines","","ZB","MON","MONARCH","United Kingdom",1
3533,"Monarch Airlines","","","MNH","MONARCH AIR","United States",0
3534,"Myway Airlines","","8I","","","Italy",1
3535,"Moncton Flying Club","","","MFC","EAST WIND","Canada",0
3536,"Monde Air Charters","","","MDB","MONDEAIR CARGO","United Kingdom",0
3537,"Monerrey Air Taxi","","","MTI","MONTERREY AIR","Mexico",0
3538,"Monky Aerotaxis","","","MKY","MONKY","Mexico",0
3539,"Montenegro Airlines","","YM","MGX","MONTAIR","Montenegro",1
3540,"Montserrat Airways","","","MNT","MONTSERRAT","Montserrat",0
3541,"Mooney Aircraft Corporation","","","MNY","MOONEY FLIGHT","United States",0
3542,"Morningstar Air Express","","","MAL","MORNINGSTAR","Canada",1
3543,"Morris Air Service","","","MSS","WASATCH","United States",0
3544,"Morrison Flying Service","","","MRO","MORRISON","United States",0
3545,"Moskovia Airlines","","3R","GAI","GROMOV AIRLINE","Russia",1
3546,"Mosphil Aero","","","MPI","MOSPHIL","Philippines",0
3547,"Motor Sich","","M9","MSI","MOTOR SICH","Ukraine",1
3548,"Mount Cook Airlines","","NM","NZM","MOUNTCOOK","New Zealand",0
3549,"Mountain Air Cargo","","","MTN","MOUNTAIN","United States",0
3550,"Mountain Air Company","","N4","MTC","MOUNTAIN LEONE","Sierra Leone",0
3551,"Mountain Air Express","","","PKP","PIKES PEAK","United States",0
3552,"Mountain Air Service","","","BRR","MOUNTAIN AIR","United States",0
3553,"Mountain Bird","","","MBI","MOUNTAIN BIRD","United States",0
3554,"Mountain High Aviation","","","MHA","MOUNTAIN HIGH","United States",0
3555,"Mountain Pacific Air","","","MPC","MOUNTAIN PACIFIC","Canada",0
3556,"Mountain Valley Air Service","","","MTV","MOUNTAIN VALLEY","United States",0
3557,"Mowhawk Airlines","","","MOW","MOHAWK AIR","United States",0
3558,"Mudan Airlines","","","MDN","","Somali Republic",0
3559,"Mudanjiang General Aviation","","","CMJ","MUDANJIANG","China",0
3560,"Multi Taxi","","","MTX","MULTITAXI","Mexico",0
3561,"Multi-Aero","","","WBR","WEBER","United States",0
3562,"Multiflight","","","MFT","YORKAIR","",0
3563,"Murmansk Aircompany","","","MNZ","MURMAN AIR","Russia",0
3564,"Murray Air","","","MUA","MURRAY AIR","United States",0
3565,"Musrata Air Transport","","","MMR","MUSRATA AIR","Libya",0
3566,"Mustique Airways","","","MAW","MUSTIQUE","Barbados",0
3567,"My Way Airlines","","","MYW","FRANKY","Italy",0
3568,"MyTravel Airways","","VZ","MYT","KESTREL","United Kingdom",1
3569,"Myanma Airways","","UB","UBA","UNIONAIR","Myanmar",1
3570,"Myanmar Airways International","","8M","MMM","assignment postponed","Myanmar",1
3571,"Myflug","","","MYA","MYFLUG","Iceland",1
3572,"Mytravel Airways","","","VKG","VIKING","Denmark",0
3573,"NEL Cargo","","","NLG","NELCARGO","Ivory Coast",0
3574,"NHT Lineas Aereas","","","NHG","HELGA","Brazil",0
3575,"NZ Warbirds Association","","","WAR","WARBIRDS","New Zealand",0
3576,"Nacoia Lda","","","ANL","AIR NACOIA","Angola",0
3577,"Nada Air Service","","","NHZ","NADA AIR","Chad",0
3578,"Compangnie Nationale Naganagani","","","BFN","","Burkina Faso",0
3579,"Nahanni Air Services Ltd","","","NAH","NAHANNI","Canada",0
3580,"Nakheel Aviation","","","NKL","NAKHEEL","United Arab Emirates",0
3581,"Namibia Commerical Aviation","","","MRE","MED RESCUE","Namibia",0
3582,"Namibian Defence Force","","","NDF","NAMIBIAN AIR FORCE","Namibia",0
3583,"Nanjing Airlines","","","CNJ","NINGHANG","China",0
3584,"Nantucket Airlines","","DV","ACK","ACK AIR","United States",0
3585,"Nanyah Aviation","","","NYA","NANYAH","Israel",0
3586,"Napier Air Service Inc","","","NAP","NAPIER","United States",0
3587,"Nas Air","","","NCM","AIR BANE","Angola",0
3588,"Nas Air","","P9","","","Mali",0
3589,"Nasair","","UE","NAS","NASAIRWAYS","Eritrea",1
3590,"Nashville Jet Charters","","","NJC","NASHVILLE JET","United States",0
3591,"Natalco Air Lines","","","NCO","NATALCO","S",0
3592,"Natioanl Air Traffic Controllers Association","","","NTK","NATCA","United States",0
3593,"National Air Charter","","","NSR","NASAIR","Indonesia",0
3594,"National Air Traffic Services","","","RFI","SHERLOCK","United Kingdom",0
3595,"National Airlines","","","NAN","NATION AIR","United States",0
3596,"National Airlines","","N4","NCN","","Chile",0
3597,"National Airlines","","N7","ROK","RED ROCK","United States",0
3598,"National Airlines","","NA","NAL","NATIONAL","United States",0
3599,"National Airlines","","","KUS","KUSWAG","South Africa",0
3600,"National Airways Cameroon","","9O","","","Cameroon",0
3601,"National Airways Corporation","","","LFI","AEROMED","South Africa",0
3602,"National Aviation Company","","","GTY","","Egypt",0
3603,"National Aviation Consultants","","","TNC","NATCOM","Canada",0
3604,"National Express","","","NXT","NATIONAL FREIGHT","United States",0
3605,"National Grid","","","GRD","GRID","United Kingdom",0
3606,"National Jet Express","","","JTE","JETEX","Australia",0
3607,"National Jet Service","","","AND","AIR INDIANA","United States",0
3608,"National Jet Systems","","NC","NJS","NATIONAL JET","Australia",1
3609,"National Oceanic and Atmospheric Administration","","","NAA","NOAA","United States",0
3610,"National Overseas Airlines Company","","","NOL","NAT AIRLINE","Egypt",0
3611,"Nationale Luchtvaartschool","","","NLS","PANDER","Netherlands",0
3612,"Nations Air Express Inc","","","NAE","NATIONS EXPRESS","United States",0
3613,"Nationwide Airlines","","CE","NTW","NATIONWIDE","South Africa",1
3614,"Nationwide Airlines (Zambia)","","","NWZ","ZAMNAT","Zambia",0
3615,"Natural Environment Research Council","","","EVM","SCIENCE","United Kingdom",0
3616,"Natureair","","","NRR","NATUREAIR","Costa Rica",0
3617,"Naturelink Charter","","","NRK","NATURELINK","South Africa",0
3618,"Nauru Air Corporation","","ON","RON","AIR NAURU","Nauru",1
3619,"NAV CANADA","","","NVC","NAV CAN","Canada",0
3620,"Nav Flight Planning","","","NAV","NAV DISPATCH","Czech Republic",0
3621,"Navegacao Aerea De Portugal","","","NVP","","Portugal",0
3622,"Navegacion Servicios Aereos Canarios SA","","","NAY","NAYSA","Spain",0
3623,"Navid","","","IRI","NAVID","Iran",0
3624,"Naviera Mexicana","","","NVM","NAVIERA","Mexico",0
3625,"Navigator Airlines","","","NVL","NAVLINES","Armenia",0
3626,"Navinc Airlines Services","","","XNV","","United States",0
3627,"Navitaire","","1N","","","United States",0
3628,"Navtech System Support","","","XNS","","Canada",0
3629,"Nayzak Air Transport","","","NZA","","Libya",0
3630,"State of Nebraska","","","NEB","NEBRASKA","United States",0
3631,"Necon Air","","","NEC","NECON AIR","Nepal",0
3632,"Nederlandse Kustwacht","","","NCG","NETHERLANDS COASTGUARD","Netherlands",0
3633,"Nefteyugansk Aviation Division","","","NFT","NEFTEAVIA","Russia",0
3634,"Neiltown Air","","","NLA","NEILTOWN AIR","Canada",0
3635,"Nelair Charters","","","NLC","NELAIR","South Africa",0
3636,"Nelson Aviation College","","","CGE","COLLEGE","New Zealand",0
3637,"Nepal Airlines","","RA","RNA","ROYAL NEPAL","Nepal",1
3638,"Neos","","NO","NOS","MOONFLOWER","Italy",0
3639,"Neosiam Airways","","","TOX","SKY KINGDOM","Thailand",0
3640,"Neric","","","NSL","NERICAIR","United Kingdom",0
3641,"NetJets","","1I","EJA","EXECJET","United States",1
3642,"Network Aviation Services","","","NET","NETWORK","Nigeria",0
3643,"New England Air Express","","","NEZ","ENGAIR","United States",0
3644,"New England Airlines","","EJ","NEA","NEW ENGLAND","United States",1
3645,"New Heights 291","","","NHT","NEWHEIGHTS","South Africa",0
3646,"New World Jet Corporation","","","NWD","NEW WORLD","United States",0
3647,"New York Helicopter","","","NYH","NEW YORK","United States",0
3648,"New York State Police","","","GRY","GRAY RIDER","United States",0
3649,"New Zealand Air Defence Force","","","KRC","KIWI RESCUE","New Zealand",0
3650,"Newair","","","HVA","HAVEN-AIR","United States",0
3651,"Newfoundland Labrador Air Transport","","","NLT","NALAIR","Canada",0
3652,"NextJet","","2N","NTJ","NEXTJET","Sweden",1
3653,"Nextflight Aviation","","","NXF","NEXTFLIGHT","United States",0
3654,"Nexus Aviation","","","NXS","NEXUS AVIATION","Nigeria",0
3655,"Nicaraguense De Aviacion","","","NIS","NICA","Nicaragua",0
3656,"Nicon Airways","","","NCN","NICON AIRWAYS","Nigeria",0
3657,"Nigeria Airways","","","NGA","NIGERIA","Nigeria",0
3658,"Nigerian Air Force","","","NGR","NIGERIAN AIRFORCE","Nigeria",0
3659,"Nigerian Global","","","NGX","AIR GLOBAL","Nigeria",0
3660,"Night Express","","","EXT","EXECUTIVE","Germany",0
3661,"Niki","","HG","NLY","FLYNIKI","Austria",1
3662,"Nikolaev-Air","","","NKV","AIR NIKOLAEV","Ukraine",0
3663,"Nile Safaris Aviation","","","NSA","NILE SAFARIS","Sudan",0
3664,"Nile Valley Aviation Company","","","NVA","","Egypt",0
3665,"Nile Wings Aviation Services","","","NLW","NILE WINGS","Sudan",0
3666,"Nimbus Aviation","","","NBS","NIMBUS","United Kingdom",0
3667,"Nippon Cargo Airlines","","KZ","NCA","NIPPON CARGO","Japan",0
3668,"Nizhnevartovskavia","","","NVK","VARTOSKAVIA","Russia",0
3669,"Search and Rescue 202","","","SRG","","United Kingdom",0
3670,"Search and Rescue 22","","","SRD","","United Kingdom",0
3671,"No. 32 (The Royal) Squadron RAF","","","NOH","NORTHOLT","United Kingdom",0
3672,"84 Squadron Royal Air Force @ RAF Akrotiri","","","AKG","GRIFTER","United Kingdom",0
3673,"Nobil Air","","","NBL","NOBIL AIR","Moldova",0
3674,"Nok Air","","DD","NOK","NOK AIR","Thailand",1
3675,"Nolinor Aviation","","","NRL","NOLINOR","Canada",0
3676,"Nomad Aviation","","","NMD","NOMAD AIR","Namibia",0
3677,"Norcopter","","","NOC","","Norway",0
3678,"Nord-Flyg","","","NEF","NORDEX","Sweden",0
3679,"Nordeste Linhas Aereas Regionais","","JH","NES","NORDESTE","Brazil",0
3680,"Nordic Regional","","6N","NRD","NORTH RIDER","Sweden",0
3681,"Nordic Solutions","","","NVD","NORDVIND","Lithuania",0
3682,"Nordstree (Australia)","","","NDS","","Australia",0
3683,"Norestair","","","NRT","NORESTAIR","Spain",0
3684,"Norfolk County Flight College","","","NCF","COUNTY","United Kingdom",1
3685,"Norontair","","","NOA","NORONTAIR","Canada",0
3686,"Norrlandsflyg","","","HMF","LIFEGUARD SWEDEN","Sweden",0
3687,"Norse Air Charter","","","NRX","NORSE AIR","South Africa",0
3688,"Norsk Flyrjeneste","","","NIR","NORSEMAN","Norway",0
3689,"Norsk Helikopter","","","NOR","NORSKE","Norway",0
3690,"Norsk Luftambulanse","","","DOC","HELIDOC","Norway",0
3691,"Nortavia","","","RTV","TIC-TAC","Portugal",0
3692,"North Adria Aviation","","","NAI","NORTH-ADRIA","Croatia",0
3693,"North American Airlines","","","NTM","NORTHAM","Canada",1
3694,"North American Charters","","","HMR","HAMMER","Canada",1
3695,"North American Jet Charter Group","","","NAJ","JET GROUP","United States",0
3696,"North Atlantic Air Inc","","","NAT","MASS AIR","United States",0
3697,"North Atlantic Cargo","","","NFC","NORTH ATLANTIC","Norway",0
3698,"North British Airlines","","","NBN","TEESAIR","United Kingdom",0
3699,"North Caribou Flying Service Ltd","","","NCB","NORTH CARIBOU","Canada",0
3700,"North Coast Air Services Ltd","","","NCC","NORTH COAST","Canada",0
3701,"North Coast Aviation","","N9","","","Papua New Guinea",0
3702,"North Flying","","M3","NFA","NORTH FLYING","Denmark",0
3703,"North Sea Airways","","","NRC","NORTH SEA","Netherlands",0
3704,"North Star Air Cargo","","","SBX","SKY BOX","United States",0
3705,"North Vancouver Airlines","","","NRV","NORVAN","Canada",0
3706,"North West Airlines","","","NWW","HALANT","Australia",0
3707,"North West Geomatics","","","PTO","PHOTO","Canada",0
3708,"North-East Airlines","","","NEN","NORTHEAST SWAN","Nigeria",0
3709,"North-West Air Transport Company - Vyborg","","","VBG","VYBORG AIR","Russia",0
3710,"North-Wright Airways","","HW","NWL","NORTHWRIGHT","Canada",0
3711,"Northafrican Air Transport","","","NLL","NORTHAFRICAN AIR","Libya",0
3712,"Northaire Feight Lines","","","NFL","GREAT LAKES","United States",0
3713,"Northamptonshire School of Flying","","","NSF","NORTON","United Kingdom",0
3714,"Northcoast Executive Airlines","","","NCE","TOP HAT","United States",0
3715,"Northeast Airlines","","","NEE","NORTHEAST","United States",0
3716,"Northeast Aviation","","","NPX","NORTHEAST EXPRESS","United States",0
3717,"Northern Air Cargo","","NC","NAC","YUKON","United States",0
3718,"Northern Airlines Sanya","","","BYC","BEIYA","China",0
3719,"Northern Airways","","","NDA","NORTHERN DAKOTA","United States",0
3720,"Northern Aviation Service","","","CMU","LANNA AIR","Thailand",0
3721,"Northern Dene Airways","","U7","","","Canada",1
3722,"Northern Executive Aviation","","","NEX","NEATAX","United Kingdom",0
3723,"Northern Illinois Commuter","","","NIC","ILLINOIS COMMUTER","United States",0
3724,"Northern Jet Management","","","NTX","NORTAX","United States",0
3725,"Northern Thunderbird Air","","","NTA","THUNDERBIRD","Canada",0
3726,"Northland Aviation","","","KOE","KOKEE","United States",0
3727,"Northstar Aviation","","","NSS","NORTHSTAR","United States",0
3728,"Northumbria Helicopters","","","NHL","NORTHUMBRIA","United Kingdom",0
3729,"Northway Aviation Ltd","","","NAL","NORTHWAY","Canada",0
3730,"Northwest Aero Associates","","","NWE","","United States",0
3731,"Northwest Airlines","","NW","NWA","NORTHWEST","United States",1
3732,"Northwest Regional Airlines","","FY","NWR","","Australia",0
3733,"Northwest Territorial Airways","","","NWT","TERRITORIAL","Canada",0
3734,"Northwestern Air","","J3","PLR","POLARIS","Canada",1
3735,"Northwinds Northern","","","NWN","NORTHWINDS","Canada",0
3736,"Nortland Air Manitoba","","","NAM","MANITOBA","Canada",0
3737,"Norwegian Air Shuttle","","DY","NAX","NOR SHUTTLE","Norway",1
3738,"Norwegian Aviation College","","","TFN","SPRIT","Norway",1
3739,"Notams International","","","XNT","","United States",0
3740,"Nouvel Air Tunisie","","BJ","LBT","NOUVELAIR","Tunisia",1
3741,"Nova Airline","","M4","NOV","NOVANILE","Sudan",0
3742,"Nova Scotia Department of Lands and Forests","","","PTR","PATROL","Canada",0
3743,"Novair","","1I","NVR","NAVIGATOR","Sweden",1
3744,"Novogorod Air Enterprise","","","NVG","SADKO AVIA","Russia",0
3745,"Novosibirsk Aircraft Repairing Plant","","","NSP","NARPAIR","Russia",0
3746,"Novosibirsk Aviaenterprise","","","NBE","NAKAIR","Russia",0
3747,"Novosibirsk Aviation Production Association","","","NPO","NOVSIB","Russia",0
3748,"Noy Aviation","","","NOY","NOY AVIATION","Israel",0
3749,"Nuevo Continente","","N6","ACQ","AERO CONTINENTE","Peru",0
3750,"Nuevo Horizonte Internacional","","","NHR","NUEVO HORIZONTE","Mexico",0
3751,"Nunasi-Central Airlines","","","NUN","NUNASI","Canada",0
3752,"Nurman Avia Indopura","","","NIN","NURVINDO","Indonesia",0
3753,"Nyasa Express","","","NYS","NYASA","Malawi",0
3754,"Nas Air","","XY","KNE","NAS EXPRESS","Saudi Arabia",1
3755,"O Air","","","OCN","O-BIRD","France",0
3756,"O'Connor Airlines","","UQ","OCM","OCONNOR","Australia",0
3757,"OAG","","CR","","","United Kingdom",0
3758,"OSACOM","","","JPA","J-PAT","United States",0
3759,"Oasis Hong Kong Airlines","","O8","OHK","OASIS","Hong Kong",1
3760,"Ocean Air","","","BCN","BLUE OCEAN","Mauritania",1
3761,"Ocean Airlines","","VC","VCX","OCEANCARGO","Italy",0
3762,"Ocean Sky (UK)","","","OCS","OCEANSKY","United Kingdom",0
3763,"Ocean Wings Commuter Service","","","TUK","TUCKERNUCK","United States",0
3764,"Oceanair","","O6","ONE","OCEANAIR","Brazil",1
3765,"Oceanic Airlines","","O2","","","Guinea",1
3766,"Odessa Airlines","","","ODS","ODESSA AIR","Ukraine",0
3767,"Odyssey International","","","ODY","ODYSSEY","Canada",0
3768,"Office Federal De'Aviation Civile","","","FOC","FOCA","Switzerland",0
3769,"Ogooue Air Cargo","","","GBO","","Gabon",0
3770,"Okada Airlines","","","OKJ","OKADA AIR","Nigeria",0
3771,"Okapi Airways","","","OKP","OKAPI","Democratic Republic of Congo",0
3772,"Okay Airways","","","OKA","OKAYJET","China",0
3773,"Oklahoma Department of Public Safety","","","OKL","OKLAHOMA","United States",0
3774,"Olimex Aerotaxi","","","OLX","OLIMEX","Czech Republic",0
3775,"Olimp Air","","","KVK","PONTA","Kazakhstan",0
3776,"Olympic Airlines","","OA","OAL","OLYMPIC","Greece",1
3777,"Olympic Aviation","","","OLY","OLAVIA","Greece",0
3778,"Oman Air","","WY","OMA","OMAN AIR","Oman",1
3779,"Oman Royal Flight","","","ORF","OMAN","Oman",0
3780,"Omni - Aviacao e Tecnologia","","","OAV","OMNI","Portugal",0
3781,"Omni Air International","","OY","OAE","OMNI-EXPRESS","United States",1
3782,"Omniflys","","","OMF","OMNIFLYS","Mexico",0
3783,"Omskavia Airline","","N3","OMS","OMSK","Russia",0
3784,"On Air Limited","","","ORL","ON AIR","Canada",0
3785,"One Two Go Airlines","","","OTG","THAI EXPRESS","Thailand",1
3786,"Onetime Airlines Zambia","","","OTM","ZEDTIME","Zambia",0
3787,"Ontario Ministry of Health","","","MED","MEDICAL","Canada",0
3788,"Onur Air","","8Q","OHY","ONUR AIR","Turkey",1
3789,"Opal Air","","","OPA","","Australia",0
3790,"Open Sky Aviation","","","OSA","","Lebanon",0
3791,"OpenSkies","","","BOS","MISTRAL","United Kingdom",0
3792,"Operadora Turistica Aurora","","","ORR","TURISTICA AURORA","Mexico",0
3793,"Operadora de Lineas Ejecutivas","","","OLE","OPERADORA","Mexico",0
3794,"Operadora de Transportes Aereos","","","OTP","OPERADORA AEREO","Mexico",0
3795,"Operadora de Veulos Ejectutivos","","","OPV","OPERADORA DE VUELOS","Mexico",0
3796,"Operation Enduring Freedom","","","LLO","APOLLO","Canada",0
3797,"Operational Aviation Services","","","OAX","","Australia",0
3798,"Orange Air Services","","","ORD","ORANGE SERVICES","Sierra Leone",0
3799,"Orange Air Sierra Leone","","","ORJ","ORANGE SIERRA","Sierra Leone",0
3800,"Orange Aviation","","","ORE","ORANGE AVIATION","Israel",0
3801,"Orbit Express Airlines","","","ORX","OREX","Turkey",0
3802,"Orca Air","","","ORK","ORCA TAXI","Egypt",0
3803,"Orebro Aviation","","","BUE","BLUELIGHT","Sweden",0
3804,"Orel State Air Enterprise","","","ORM","ORPRISE","Russia",0
3805,"Orenburg Airlines","","R2","ORB","ORENBURG","Russia",1
3806,"Organizacion De Transportes Aereos","","","OTA","ORGANIZACION","Mexico",0
3807,"Organizacoes Mambra","","","OML","MAMBRA","Angola",0
3808,"Orient Air","","","OVV","ORIENTSYR","Syrian Arab Republic",0
3809,"Orient Airlines","","","OTR","ORIENTROC","Sudan",0
3810,"Orient Airways","","","ORN","ORIENT LINER","Pakistan",0
3811,"Orient Thai Airlines","","OX","OEA","ORIENT THAI","Thailand",1
3812,"Oriental Air Bridge","","","NGK","ORIENTAL BRIDGE","Japan",0
3813,"Oriental Airlines","","","OAC","ORIENTAL AIR","Nigeria",0
3814,"Origin Pacific Airways","","QO","OGN","ORIGIN","New Zealand",1
3815,"Orion Air Charter","","","OED","ORION CHARTER","South Africa",0
3816,"Orion-x","","","OIX","ORIONIX","Russia",0
3817,"Orlan-2000","","","KOV","ORLAN","Kazakhstan",0
3818,"Ornage Aircraft Leasing","","","RNG","ORANGE","Netherlands",0
3819,"Orscom Tourist Installations Company","","","OAD","ORSCOM","Egypt",0
3820,"Osh Avia","","","OSH","OSH AVIA","Kyrgyzstan",0
3821,"Ostend Air College","","","OCO","AIR COLLEGE","Belgium",0
3822,"Ostfriesische Lufttransport","","OL","OLT","OLTRA","Germany",1
3823,"Oulun Tilauslento","","","FNL","FINN FLIGHT","Finland",0
3824,"Our Airline","","ON","RON","OUR AIRLINE","Nauru",0
3825,"Out Of The Blue Air Safaris","","","OOT","OOTBAS","South Africa",0
3826,"Overland Airways","","OJ","OLA","OVERLAND","Nigeria",1
3827,"Oxaero","","","OXE","OXOE","United Kingdom",0
3828,"Oxford Air Services","","","WDK","WOODSTOCK","United Kingdom",0
3829,"Oxley Aviation","","","OAA","","Australia",0
3830,"Ozark Air Lines","","OZ","OZR","OZARK","United States",0
3831,"Ozjet Airlines","","O7","OZJ","AUSJET","Australia",1
3832,"P & P Floss Pick Manufacturers","","","KTL","KNOTTSBERRY","South Africa",0
3833,"PAC Air","","","PCR","PACAIR","United States",0
3834,"PAN Air","","PV","PNR","SKYJET","Spain",1
3835,"PB Air","","9Q","PBA","PEEBEE AIR","Thailand",1
3836,"PDQ Air Charter","","","PDQ","DISPATCH","United States",0
3837,"PHH Aviation System","","","XAS","","United States",0
3838,"PLM Dollar Group","","","PDG","OSPREY","United Kingdom",0
3839,"PLUNA","","PU","PUA","PLUNA","Uruguay",1
3840,"PMTair","","U4","PMT","MULTITRADE","Cambodia",1
3841,"PRT Aviation","","","PRP","PRONTO","Spain",0
3842,"PSA Airlines","","","JIA","BLUE STREAK","United States",0
3843,"PTL Luftfahrtunternehemen","","","KST","KING STAR","Germany",0
3844,"Paccair","","","WIS","WISCAIR","United States",0
3845,"Pace Airlines","","Y5","PCE","PACE","United States",0
3846,"Pacific Air Boats","","","PAB","AIR BOATS","Canada",0
3847,"Pacific Air Charter","","","PRC","PACIFIC CHARTER","United States",0
3848,"Pacific Air Express","","","PCF","PACIFIC EXPRESS","United States",0
3849,"Pacific Air Transport","","","PXP","PAK EXPRESS","United States",0
3850,"Jetstar Pacific","Pacific Airlines","BL","PIC","PACIFIC AIRLINES","Vietnam",1
3851,"Pacific Alaska Airlines","","","PAK","PACIFIC ALASKA","United States",0
3852,"Pacific Aviation (Australia)","","","PCV","PACAV","Australia",0
3853,"Pacific Aviation (United States)","","","PCX","","United States",0
3854,"Pacific Blue","","DJ","PBN","BLUEBIRD","New Zealand",0
3855,"Pacific Coast Airlines","","","PQA","SAGE BRUSH","United States",0
3856,"Pacific Coastal Airline","","8P","PCO","PASCO","Canada",1
3857,"Pacific East Asia Cargo Airlines","","Q8","PEC","PAC-EAST CARGO","Philippines",1
3858,"Pacific Flight Services","","","PFA","PACIFIC SING","Singapore",0
3859,"Pacific International Airlines","","","PIN","ROAD RUNNERS","United States",0
3860,"Pacific Island Aviation","","","PSA","PACIFIC ISLE","United States",1
3861,"Pacific Jet","","","PCJ","PACIFIC JET","United States",0
3862,"Pacific Pearl Airways","","","PPM","PACIFIC PEARL","Philippines",0
3863,"Pacific Rim Airways","","","PAR","PACRIM","Australia",0
3864,"Pacific Southwest Airlines","","PS","PSX","SMILEY","United States",0
3865,"Pacific Wings","","LW","NMI","TSUNAMI","United States",1
