id,name,alias,iata,icao,callsign,country,is_active
1564,"Bell Helicopter Textron","","","TXB","TEXTRON","Canada",0
1565,"Buzzaway Limited","","","UKA","UKAY","United Kingdom",0
1566,"Biz Jet Charter","","","VLX","AVOLAR","United States",0
1567,"Blue Chip Jet","","","VOL","BLUE SPEED","Sweden",0
1568,"BAE Systems","","","WFD","AVRO","United Kingdom",0
1569,"BAE Systems","","","WTN","TARNISH","United Kingdom",0
1570,"Baseops International","","","XBO","","United States",0
1571,"Bureau Veritas","","","XDA","","France",0
1572,"British Airways","","","XMS","SANTA","United Kingdom",0
1573,"Boskovic Air Charters Limited","","","ZBA","BOSKY","Kenya",0
1574,"C Air Jet Airlines","","","SRJ","SYRJET","Syrian Arab Republic",0
1575,"C N Air","","","ORO","CAPRI","Spain",0
1576,"C and M Aviation","","","TIP","TRANSPAC","United States",0
1577,"C&M Airways","","","RWG","RED WING","United States",0
1578,"C.S.P.","","","RMU"," Societe","AIR-MAUR",0
1579,"CABI","","","CBI","CABI","Ukraine",0
1580,"CAI","","","CPI","AIRCAI","Italy",0
1581,"CAL Cargo Air Lines","","5C","ICL","CAL","Israel",1
1582,"CAM Air Management","","","CMR","CAMEO","United Kingdom",0
1583,"CATA L","","","CTZ","CATA","Argentina",0
1584,"CCF Manager Airline","","","CCF","TOMCAT","Germany",0
1585,"CEDTA (Compania Ecuatoriana De Transportes Aereos)","","","CED","CEDTA","Ecuador",0
1586,"CHC Denmark","","","HBI","HELIBIRD","Denmark",0
1587,"CHC Helicopters","","","HEM","HEMS","Australia",0
1588,"CHC Airways","","AW","SCH","","Netherlands",0
1589,"CHC Helikopter Service","","","HKS","HELIBUS","Norway",0
1590,"CI-Tours","","","VCI","CI-TOURS","Ivory Coast",0
1591,"CKC Services","","","CKC","","United States",0
1592,"CM Stair","","","CMZ","CEE-EM STAIRS","Mauritania",0
1593,"CNET","","","CNT","KNET","France",0
1594,"COAPA AIR","","","OAP","COAPA","Mexico",0
1595,"COMAV","","","PDR","SPEEDSTER","Namibia",0
1596,"CRI Helicopters Mexico","","","CRH","HELI-MEX","Mexico",0
1597,"CSA Air","","","IRO","IRON AIR","United States",0
1598,"CSE Aviation","","","CSE","OXFORD","United Kingdom",0
1599,"CTK Network Aviation","","","CTQ","CITYLINK","Ghana",0
1600,"Cabair College of Air Training","","","CBR","CABAIR","United Kingdom",0
1601,"Cabo Verde Express","","","CVE","KABEX","Cape Verde",0
1602,"Caernarfon Airworld","","","CWD","AMBASSADOR","United Kingdom",0
1603,"Cairo Air Transport Company","","","CCE","","Egypt",0
1604,"Cal Gulf Aviation","","","CGC","CAL-GULF","Sao Tome and Principe",0
1605,"Cal-West Aviation","","","REZ","CAL AIR","United States",0
1606,"California Air Shuttle","","","CSL","CALIFORNIA SHUTTLE","United States",0
1607,"Calima Aviacion","","XG","CLI","CALIMA","Spain",1
1608,"Calm Air","","MO","CAV","CALM AIR","Canada",0
1609,"Camai Air","","R9","CAM","AIR CAMAI","United States",0
1610,"Cambodia Airlines","","","KHM","CAMBODIA AIRLINES","Cambodia",0
1611,"Cameroon Airlines","","UY","UYC","CAM-AIR","Cameroon",0
1612,"Campania Helicopteros De Transporte","","","HSO","HELIASTURIAS","Spain",0
1613,"CanJet","","C6","CJA","CANJET","Canada",0
1614,"Canada Jet Charters","","","PIL","PINNACLE","Canada",0
1615,"Canadian Airlines","","CP","CDN","CANADIAN","Canada",1
1616,"Canadian Coast Guard","","","CTG","CANADIAN COAST GUARD","Canada",0
1617,"Canadian Eagle Aviation","","","HIA","HAIDA","Canada",0
1618,"Canadian Forces","","","CFC","CANFORCE","Canada",0
1619,"Canadian Global Air Ambulance","","","BZD","BLIZZARD","Canada",0
1620,"Canadian Helicopters","","","CDN","CANADIAN","Canada",0
1621,"Canadian Interagency Forest Fire Centre","","","TKR","TANKER","Canada",0
1622,"Canadian National Telecommunications","","","XNC","","Canada",0
1623,"Canadian North","","5T","MPE","EMPRESS","Canada",1
1624,"Canadian Regional Airlines","","","CDR","CANADIAN REGIONAL","Canada",0
1625,"Canadian Warplane Heritage Museum","","","CWH","WARPLANE HERITAGE","Canada",0
1626,"Canadian Western Airlines","","W2","CWA","CANADIAN WESTERN","Canada",0
1627,"Canair","","","CWW","CANAIR","China",0
1628,"Cancun Air","","","CUI","CAN-AIR","Mexico",0
1629,"Cape Air","","9K","KAP","CAIR","United States",1
1630,"Cape Air Transport","","","CTO","","Australia",0
1631,"Cape Central Airways","","","SEM","SEMO","United States",0
1632,"Cape Smythe Air","","","CMY","CAPE SMYTHE AIR","United States",0
1633,"Capital Air Service","","","CPX","CAPAIR","United States",0
1634,"Capital Airlines","","","CPD","CAPITAL DELTA","Kenya",0
1635,"Capital Airlines Limited","","","NCP","CAPITAL SHUTTLE","Nigeria",0
1636,"Capital Cargo International Airlines","","PT","CCI","CAPPY","United States",0
1637,"Capital City Air Carriers","","","CCQ","CAP CITY","United States",0
1638,"Capital Trading Aviation","","","EGL","PRESTIGE","United Kingdom",0
1639,"Capitol Air Express","","","CEX","CAPITOL EXPRESS","United States",0
1640,"Capitol Wings Airline","","","CWZ","CAPWINGS","United States",0
1641,"Caravan Air","","","VAN","CAMEL","Mauritania",0
1642,"Cardiff Wales Flying Club","","","CWN","CAMBRIAN","United Kingdom",0
1643,"Cardinal/Air Virginia","","","FVA","AIR VIRGINIA","United States",0
1644,"Cardolaar","","","GOL","CARGOLAAR","Namibia",0
1645,"Cards Air Services","","","CDI","CARDS","Philippines",0
1646,"Care Flight","","","CFH","CARE FLIGHT","Australia",0
1647,"Carga Aerea Dominicana","","","CDM","CARGA AEREA","Dominican Republic",0
1648,"Carga Express Internacional","","","EST","CARGAINTER","Mexico",0
1649,"Cargo 360","","GG","GGC","LONG-HAUL","United States",0
1650,"Cargo Express","","","MCX","MAURICARGO","Mauritania",0
1651,"Cargo Ivoire","","","CRV","CARGOIV","Ivory Coast",0
1652,"Cargo Link (Caribbean)","","","CLM","CARGO LINK","Barbados",0
1653,"Cargo Three","","","CTW","THIRD CARGO","Panama",0
1654,"Cargoitalia","","2G","CRG","WHITE PELICAN","Italy",0
1655,"Cargojet Airways","","W8","CJT","CARGOJET","Canada",0
1656,"Cargolux","","CV","CLX","CARGOLUX","Luxembourg",0
1657,"Cargoman","","","CGM","HOTEL CHARLIE","Oman",0
1658,"Carib Aviation","","","DEL","RED TAIL","Antigua and Barbuda",0
